feature,importance
hbd,0.02774638496339321
tpsa,0.023079760372638702
morgan_1693,0.019346876069903374
morgan_177,0.018550880253314972
morgan_1754,0.017172982916235924
morgan_357,0.016581639647483826
morgan_1096,0.016195673495531082
morgan_946,0.014697394333779812
morgan_1345,0.01450525876134634
morgan_1750,0.014031772501766682
morgan_888,0.012433512136340141
morgan_1627,0.012196349911391735
morgan_173,0.010961472056806087
molecular_weight,0.010829092003405094
morgan_80,0.010416791774332523
morgan_1747,0.010398520156741142
morgan_1978,0.010346727445721626
morgan_1083,0.009841237217187881
morgan_1164,0.009797181002795696
morgan_493,0.009464447386562824
morgan_1436,0.009136537089943886
morgan_1019,0.009099422954022884
morgan_964,0.008811799809336662
logp,0.00848169345408678
morgan_1908,0.008481516502797604
morgan_1297,0.008248869329690933
morgan_43,0.008234784007072449
morgan_1405,0.008225851692259312
morgan_1049,0.007825925946235657
morgan_1163,0.007708007004112005
morgan_1560,0.007486233487725258
morgan_1145,0.007416551932692528
morgan_1344,0.007339277770370245
morgan_699,0.007127361837774515
morgan_1476,0.007098140195012093
morgan_881,0.006995331961661577
morgan_119,0.0069609833881258965
morgan_1603,0.006707793101668358
morgan_378,0.006704483646899462
morgan_1199,0.006507520563900471
morgan_464,0.006429309491068125
morgan_1045,0.006371662952005863
morgan_1162,0.006341380998492241
morgan_675,0.006306055001914501
morgan_1114,0.006255440879613161
morgan_283,0.006244922522455454
molar_refractivity,0.006239663809537888
morgan_1564,0.0059352656826376915
morgan_94,0.005904871039092541
morgan_92,0.005866768304258585
morgan_1859,0.005849708337336779
morgan_1524,0.005826597101986408
morgan_350,0.005723046138882637
heavy_atom_count,0.005702101159840822
morgan_1802,0.005669367033988237
morgan_623,0.005566638894379139
morgan_1842,0.0054658930748701096
morgan_389,0.005460616201162338
aromatic_ring_count,0.005414001643657684
morgan_1876,0.0053439876064658165
morgan_1104,0.005321396514773369
rotatable_bonds,0.005294065456837416
morgan_649,0.005213680677115917
morgan_1937,0.005097343120723963
morgan_1357,0.005050220061093569
morgan_216,0.005028577521443367
morgan_1027,0.0049668001011013985
morgan_1077,0.0049660224467515945
morgan_1325,0.004853066988289356
morgan_1722,0.004838337190449238
high_tpsa_flag,0.004832628648728132
morgan_1508,0.004801072180271149
morgan_694,0.0047632246278226376
morgan_1287,0.004760557785630226
morgan_1517,0.00473653944209218
morgan_1088,0.004704572726041079
morgan_1440,0.004695022478699684
ring_count,0.0046900734305381775
morgan_1733,0.004635398276150227
morgan_780,0.00460014957934618
morgan_1879,0.004564882256090641
morgan_716,0.0044914474710822105
morgan_1060,0.004481085110455751
morgan_1847,0.004452608525753021
morgan_114,0.004437353927642107
morgan_1422,0.0044220141135156155
morgan_1921,0.004374801646918058
morgan_606,0.00434364378452301
morgan_926,0.004329222720116377
morgan_118,0.004328640177845955
morgan_1866,0.004316962789744139
morgan_1737,0.004305681679397821
morgan_1885,0.0041824085637927055
morgan_680,0.004108547233045101
morgan_157,0.00408264622092247
morgan_917,0.004056609235703945
morgan_1452,0.00404855702072382
morgan_1160,0.004040112253278494
morgan_82,0.004017687868326902
morgan_1085,0.003962127957493067
morgan_1697,0.003932518884539604
morgan_1292,0.003918117377907038
morgan_214,0.003892488544806838
morgan_744,0.003800869919359684
morgan_1057,0.003767674323171377
morgan_552,0.0036971885710954666
heteroatom_count,0.0036444636061787605
morgan_145,0.003602586919441819
morgan_1149,0.0035926825366914272
morgan_202,0.0035653370432555676
morgan_718,0.0035297998692840338
morgan_786,0.0034903495106846094
hba,0.00348613690584898
morgan_1171,0.003457501996308565
morgan_1810,0.0034245257265865803
morgan_1910,0.0034126974642276764
morgan_1634,0.0034006682690232992
morgan_872,0.003377011977136135
morgan_1683,0.0033756725024431944
morgan_176,0.003366783494129777
morgan_1853,0.0033556942362338305
morgan_806,0.0033449758775532246
morgan_1844,0.0033000276889652014
morgan_525,0.0032985114958137274
morgan_4,0.003288665320724249
morgan_1328,0.003232730319723487
morgan_2044,0.0032076078932732344
morgan_296,0.00316023756749928
morgan_935,0.003111785277724266
morgan_1738,0.0030980184674263
morgan_715,0.003068381454795599
morgan_1410,0.0030338831711560488
morgan_787,0.0030177219305187464
fraction_csp3,0.0029775488656014204
morgan_102,0.0029662558808922768
morgan_106,0.0029512292239814997
morgan_656,0.0029301405884325504
morgan_1470,0.0028775103855878115
morgan_45,0.0028428733348846436
morgan_1456,0.0028301901184022427
morgan_1457,0.0028259563259780407
morgan_1135,0.0027757121715694666
morgan_828,0.0027509424835443497
morgan_344,0.0027434187941253185
morgan_1928,0.002742179436609149
morgan_314,0.002741150325164199
morgan_1915,0.0027113156393170357
morgan_1819,0.002669017296284437
morgan_1855,0.0026652917731553316
morgan_847,0.0026508145965635777
morgan_573,0.0026490502059459686
morgan_1208,0.0026233834214508533
morgan_740,0.0025943885557353497
morgan_1951,0.0025709886103868484
morgan_1849,0.002566232578828931
morgan_751,0.0025476806331425905
morgan_1430,0.002547548385336995
morgan_203,0.0025129192508757114
morgan_440,0.0025099655613303185
morgan_1604,0.002504249569028616
morgan_695,0.002434727270156145
morgan_322,0.00242595374584198
morgan_1542,0.002401350997388363
morgan_1005,0.00229375041089952
morgan_1211,0.0022253943607211113
morgan_1917,0.0022167463321238756
morgan_652,0.0022018463350832462
morgan_800,0.002158672548830509
morgan_1519,0.0021302865352481604
morgan_5,0.002011245582252741
morgan_561,0.0019923876971006393
morgan_507,0.0019513759762048721
morgan_781,0.0019207781879231334
morgan_310,0.0019039562903344631
morgan_1854,0.0018815568182617426
morgan_252,0.0018588347593322396
morgan_1970,0.0018537587020546198
morgan_1851,0.0016442214837297797
morgan_1050,0.0016416629077866673
morgan_519,0.0015816730447113514
morgan_233,0.0015068429056555033
morgan_826,0.0014509414322674274
lipinski_violations,0.0014489212771877646
morgan_1385,0.0014240432064980268
morgan_352,0.0014011603780090809
morgan_1212,0.0013812307734042406
morgan_804,0.0013497998006641865
morgan_1911,0.0013311556540429592
morgan_971,0.0013048640685155988
morgan_1791,0.0012530016247183084
morgan_486,0.0012434612726792693
morgan_653,0.0011869424488395452
morgan_180,0.0011208591749891639
morgan_1028,0.0011109296465292573
morgan_1480,0.0010858576279133558
morgan_1,0.001040115486830473
morgan_165,0.001029822276905179
morgan_1783,0.0010224743746221066
morgan_435,0.0009548002271912992
morgan_1984,0.0009349621832370758
morgan_1676,0.000929966859985143
morgan_1152,0.000731094682123512
morgan_875,0.0007019492913968861
morgan_101,0.0005397702916525304
morgan_441,0.00038155706715770066
morgan_164,0.000363145605660975
morgan_328,0.00019106797117274255
morgan_130,1.266824529011501e-05
morgan_100,0.0
morgan_99,0.0
morgan_98,0.0
morgan_97,0.0
morgan_96,0.0
morgan_127,0.0
morgan_126,0.0
morgan_125,0.0
morgan_124,0.0
morgan_123,0.0
morgan_122,0.0
morgan_121,0.0
morgan_120,0.0
morgan_117,0.0
morgan_116,0.0
morgan_115,0.0
morgan_113,0.0
morgan_112,0.0
morgan_143,0.0
morgan_142,0.0
morgan_141,0.0
morgan_140,0.0
morgan_139,0.0
morgan_138,0.0
morgan_137,0.0
morgan_136,0.0
morgan_135,0.0
morgan_134,0.0
morgan_133,0.0
morgan_132,0.0
morgan_131,0.0
morgan_129,0.0
morgan_128,0.0
morgan_159,0.0
morgan_158,0.0
morgan_156,0.0
morgan_155,0.0
morgan_154,0.0
morgan_153,0.0
morgan_152,0.0
morgan_151,0.0
morgan_150,0.0
morgan_149,0.0
morgan_148,0.0
morgan_147,0.0
morgan_146,0.0
morgan_144,0.0
morgan_175,0.0
morgan_174,0.0
morgan_172,0.0
morgan_171,0.0
morgan_170,0.0
morgan_169,0.0
morgan_168,0.0
morgan_167,0.0
morgan_166,0.0
morgan_163,0.0
morgan_162,0.0
morgan_161,0.0
morgan_160,0.0
morgan_191,0.0
morgan_190,0.0
morgan_189,0.0
morgan_188,0.0
morgan_187,0.0
morgan_186,0.0
morgan_185,0.0
morgan_184,0.0
morgan_183,0.0
morgan_182,0.0
morgan_181,0.0
morgan_179,0.0
morgan_178,0.0
morgan_207,0.0
morgan_206,0.0
morgan_205,0.0
morgan_204,0.0
morgan_201,0.0
morgan_200,0.0
morgan_199,0.0
morgan_198,0.0
morgan_197,0.0
morgan_196,0.0
morgan_195,0.0
morgan_194,0.0
morgan_193,0.0
morgan_192,0.0
morgan_223,0.0
morgan_222,0.0
morgan_221,0.0
morgan_220,0.0
morgan_219,0.0
morgan_218,0.0
morgan_217,0.0
morgan_215,0.0
morgan_213,0.0
morgan_212,0.0
morgan_211,0.0
morgan_210,0.0
morgan_209,0.0
morgan_208,0.0
morgan_239,0.0
morgan_238,0.0
morgan_237,0.0
morgan_236,0.0
morgan_235,0.0
morgan_234,0.0
morgan_232,0.0
morgan_231,0.0
morgan_230,0.0
morgan_229,0.0
morgan_228,0.0
morgan_227,0.0
morgan_226,0.0
morgan_225,0.0
morgan_224,0.0
morgan_255,0.0
morgan_254,0.0
morgan_253,0.0
morgan_251,0.0
morgan_250,0.0
morgan_249,0.0
morgan_248,0.0
morgan_247,0.0
morgan_246,0.0
morgan_245,0.0
morgan_244,0.0
morgan_243,0.0
morgan_242,0.0
morgan_241,0.0
morgan_240,0.0
morgan_271,0.0
morgan_270,0.0
morgan_269,0.0
morgan_268,0.0
morgan_267,0.0
morgan_266,0.0
morgan_265,0.0
morgan_264,0.0
morgan_263,0.0
morgan_262,0.0
morgan_261,0.0
morgan_260,0.0
morgan_259,0.0
morgan_258,0.0
morgan_257,0.0
morgan_256,0.0
morgan_287,0.0
morgan_286,0.0
morgan_285,0.0
morgan_284,0.0
morgan_282,0.0
morgan_281,0.0
morgan_280,0.0
morgan_279,0.0
morgan_278,0.0
morgan_277,0.0
morgan_276,0.0
morgan_275,0.0
morgan_274,0.0
morgan_273,0.0
morgan_272,0.0
morgan_303,0.0
morgan_302,0.0
morgan_301,0.0
morgan_300,0.0
morgan_299,0.0
morgan_298,0.0
morgan_297,0.0
morgan_295,0.0
morgan_294,0.0
morgan_293,0.0
morgan_292,0.0
morgan_291,0.0
morgan_290,0.0
morgan_289,0.0
morgan_288,0.0
morgan_319,0.0
morgan_318,0.0
morgan_317,0.0
morgan_316,0.0
morgan_315,0.0
morgan_313,0.0
