task,model,accuracy,balanced_accuracy,precision,recall,f1,auroc,rmse,mae,r2
classification,logistic_regression,0.7912087912087912,0.7912087912087912,0.7731958762886598,0.8241758241758241,0.7978723404255319,0.8521917642796764,,,
classification,random_forest,0.8406593406593407,0.8406593406593406,0.8297872340425532,0.8571428571428571,0.8432432432432433,0.9404661272793141,,,
classification,xgboost,0.8626373626373627,0.8626373626373627,0.8586956521739131,0.8681318681318682,0.8633879781420765,0.9459002535925614,,,
regression,linear_regression,,,,,,,0.8071334780991142,0.5899773627387274,0.05609355709313102
regression,random_forest_regressor,,,,,,,0.3855888639582953,0.29747562597597266,0.7845794187140569
regression,xgboost_regressor,,,,,,,0.4023114726731742,0.31421183486120197,0.765489084042698
